CityID,CityName,X_Coord,Y_Coord
1,Mumbai,100,200
2,Delhi,300,150
3,Bangalore,200,450
4,Kolkata,500,200
5,Chennai,250,550
6,Hyderabad,300,400
7,Pune,150,250
8,Ahmedabad,100,100
9,Surat,120,150
10,Jaipur,250,80
11,Lucknow,400,150
12,Kanpur,420,180
13,Nagpur,350,300
14,Indore,200,200
15,Thane,110,210
16,Bhopal,280,220
17,Visakhapatnam,450,400
18,Patna,480,150
19,Vadodara,130,130
20,Ghaziabad,310,140
21,Ludhiana,280,50
22,Agra,360,120
23,Nashik,140,220
24,Faridabad,320,145
25,Meerut,330,135
26,Rajkot,80,120
27,Varanasi,450,180
28,Srinagar,250,20
29,Amritsar,260,40
30,Allahabad,430,170
31,Ranchi,500,250
32,Howrah,510,205
33,Coimbatore,220,520
34,Jabalpur,360,240
35,Gwalior,340,140
36,Vijayawada,400,450
37,Jodhpur,180,90
38,Madurai,240,580
39,Raipur,420,280
40,Kota,230,110
41,Chandigarh,290,60
42,Guwahati,580,180
43,Solapur,200,320
44,Hubli,180,380
45,Mysore,210,480
46,Tiruchirappalli,270,540
47,Bareilly,380,130
48,Aligarh,350,140
49,Moradabad,340,125
50,Jalandhar,270,55
51,Bhubaneswar,520,350
52,Salem,230,510
53,Warangal,360,420
54,Thiruvananthapuram,200,600
55,Guntur,380,460
56,Bhiwandi,105,205
57,Saharanpur,320,120
58,Gorakhpur,460,160
59,Bikaner,160,70
60,Amravati,340,310
