FromCityID,ToCityID,Distance
1,7,45
1,15,12
1,56,8
2,11,480
2,20,25
2,24,30
2,25,70
3,6,575
3,5,350
3,45,140
4,32,5
4,18,580
4,31,420
5,33,340
5,38,450
5,46,180
6,13,450
6,17,610
6,53,145
7,14,280
7,23,90
8,9,35
8,19,48
8,26,120
9,19,40
10,22,240
10,37,280
10,40,160
11,12,80
11,30,200
12,47,180
13,34,260
13,39,280
13,60,85
14,16,140
14,34,320
15,1,12
16,34,180
17,51,450
18,27,120
18,58,280
19,26,95
20,24,15
21,29,110
21,41,65
21,50,85
22,35,120
22,48,60
23,7,90
24,25,22
26,37,180
27,30,85
28,29,210
28,41,150
29,50,95
30,27,85
31,39,340
32,4,5
33,52,95
34,39,150
35,22,120
36,55,85
37,59,190
38,54,380
39,31,340
40,10,160
41,21,65
42,51,520
43,44,180
44,45,120
45,3,140
46,52,110
47,49,65
48,57,55
49,57,48
50,29,95
51,42,520
52,33,95
53,55,95
54,38,380
55,36,85
56,15,5
57,48,55
58,30,190
59,37,190
60,13,85
